,glob_loss,glob_acc,local_loss,local_acc
0,2.465767502784729,10.13,"[2.45678973197937, 2.4621989727020264, 2.477487325668335, 2.455587387084961, 2.470513105392456, 2.440948486328125, 2.4646241664886475, 2.4816391468048096, 2.485121250152588, 2.4627654552459717]","[11.0, 11.1, 9.9, 9.7, 10.0, 7.8, 10.5, 9.5, 11.7, 10.1]"
1,1.6360594153404235,39.29,"[1.6503390073776245, 1.6330817937850952, 1.6234651803970337, 1.622003436088562, 1.621092677116394, 1.6377127170562744, 1.6476863622665405, 1.646380066871643, 1.6617707014083862, 1.6170622110366821]","[39.9, 40.1, 39.9, 40.3, 40.0, 38.1, 37.6, 41.0, 37.4, 38.6]"
2,1.3289484977722168,46.980000000000004,"[1.3310121297836304, 1.3390926122665405, 1.3151997327804565, 1.3204432725906372, 1.3132930994033813, 1.3233674764633179, 1.3290685415267944, 1.3582626581192017, 1.3518174886703491, 1.3079279661178589]","[46.6, 46.3, 48.4, 47.5, 47.5, 47.7, 45.6, 48.5, 45.6, 46.1]"
3,1.1293005824089053,48.96,"[1.126538872718811, 1.1464651823043823, 1.1153538227081299, 1.1133226156234741, 1.1255232095718384, 1.1314128637313843, 1.1200536489486694, 1.1452977657318115, 1.1515734195709229, 1.1174644231796265]","[48.2, 49.1, 49.1, 47.7, 50.4, 49.3, 48.2, 51.0, 47.6, 49.0]"
4,0.9034742832183837,50.76,"[0.9031922221183777, 0.9221870303153992, 0.8928484320640564, 0.8793388605117798, 0.9116355180740356, 0.8989269137382507, 0.8833077549934387, 0.9176255464553833, 0.9202143549919128, 0.9054661989212036]","[48.4, 50.6, 50.8, 51.6, 52.0, 51.4, 49.5, 52.9, 49.6, 50.8]"
5,0.6772086501121521,50.66000000000001,"[0.664215624332428, 0.6906570196151733, 0.6742352843284607, 0.6597461700439453, 0.6927415728569031, 0.6809408664703369, 0.6579504609107971, 0.6863884925842285, 0.6942171454429626, 0.6709938645362854]","[48.8, 50.4, 51.0, 51.6, 52.0, 51.0, 48.9, 52.3, 50.4, 50.2]"
6,0.4889323174953461,50.63000000000001,"[0.4719691872596741, 0.4943794310092926, 0.48069998621940613, 0.47329774498939514, 0.5245201587677002, 0.4757660925388336, 0.4630607068538666, 0.5141818523406982, 0.5033847689628601, 0.488063246011734]","[49.7, 49.9, 50.8, 52.6, 52.6, 51.9, 49.6, 51.8, 48.6, 48.8]"
7,0.3452699065208435,49.660000000000004,"[0.32231786847114563, 0.35080254077911377, 0.33734267950057983, 0.35778531432151794, 0.36666008830070496, 0.33168190717697144, 0.31648117303848267, 0.3833109736442566, 0.34590503573417664, 0.3404114842414856]","[49.0, 49.2, 50.1, 50.0, 52.8, 50.5, 47.5, 51.1, 48.5, 47.9]"
8,0.22840002775192264,50.43000000000001,"[0.21690180897712708, 0.24182024598121643, 0.22374382615089417, 0.2298334389925003, 0.24889908730983734, 0.22255781292915344, 0.20650175213813782, 0.24366573989391327, 0.23417432606220245, 0.21590223908424377]","[50.8, 50.1, 49.6, 50.6, 53.5, 51.9, 48.8, 51.8, 48.1, 49.1]"
9,0.14706961214542388,49.75,"[0.14179404079914093, 0.1455976516008377, 0.13818641006946564, 0.1436956375837326, 0.1600600928068161, 0.15387189388275146, 0.1326664239168167, 0.15786945819854736, 0.1520346701145172, 0.14491984248161316]","[49.5, 49.4, 50.6, 50.5, 50.9, 51.4, 48.5, 51.3, 47.5, 47.9]"
10,0.0899233840405941,50.11,"[0.08326765149831772, 0.0906924307346344, 0.08626329153776169, 0.08677541464567184, 0.10387366265058517, 0.09208520501852036, 0.08070392906665802, 0.09518725425004959, 0.09437020123004913, 0.08601479977369308]","[50.6, 50.2, 49.9, 50.3, 52.0, 51.3, 48.3, 51.6, 48.5, 48.4]"
