,glob_loss,glob_acc,local_loss,local_acc
0,2.3470108985900877,8.200000000000001,"[2.346635103225708, 2.3494081497192383, 2.344517230987549, 2.34775710105896, 2.3479998111724854, 2.333871841430664, 2.344958782196045, 2.3494856357574463, 2.351327419281006, 2.3541479110717773]","[7.8, 8.1, 10.7, 9.3, 6.9, 6.7, 9.4, 8.2, 7.8, 7.1]"
1,1.716129279136658,37.580000000000005,"[1.7314926385879517, 1.6950889825820923, 1.7182930707931519, 1.6870529651641846, 1.7024059295654297, 1.7198976278305054, 1.724457025527954, 1.7283514738082886, 1.7447079420089722, 1.7095451354980469]","[37.4, 37.5, 36.7, 38.0, 40.1, 35.7, 36.9, 39.4, 36.9, 37.2]"
2,1.4448607325553895,44.18000000000001,"[1.455330729484558, 1.4411176443099976, 1.4494601488113403, 1.4175952672958374, 1.4358612298965454, 1.451425552368164, 1.463533639907837, 1.4461297988891602, 1.4615167379379272, 1.4266365766525269]","[42.7, 45.1, 43.8, 46.9, 43.7, 43.6, 45.8, 45.8, 41.6, 42.8]"
3,1.2944477438926696,47.540000000000006,"[1.3144376277923584, 1.2957137823104858, 1.2988808155059814, 1.2678850889205933, 1.2860006093978882, 1.3120900392532349, 1.2917693853378296, 1.2970308065414429, 1.3013942241668701, 1.2792750597000122]","[45.3, 48.3, 48.9, 49.2, 49.4, 46.2, 47.6, 49.9, 45.3, 45.3]"
4,1.1730142116546631,49.13,"[1.1936076879501343, 1.1846923828125, 1.1726537942886353, 1.150289535522461, 1.1701868772506714, 1.1752108335494995, 1.1643714904785156, 1.1756294965744019, 1.1833409070968628, 1.1601591110229492]","[47.4, 48.8, 50.3, 50.7, 51.9, 46.9, 49.0, 51.5, 47.9, 46.9]"
5,1.050721073150635,50.22,"[1.0708550214767456, 1.0518547296524048, 1.0567383766174316, 1.0237324237823486, 1.0534577369689941, 1.070742130279541, 1.0374315977096558, 1.0513944625854492, 1.0526336431503296, 1.0383706092834473]","[48.3, 51.5, 51.3, 51.7, 52.7, 48.1, 49.4, 52.8, 48.9, 47.5]"
6,0.91354096531868,51.30000000000001,"[0.9213455319404602, 0.9212889075279236, 0.9348599314689636, 0.8866235017776489, 0.9206770062446594, 0.9245175719261169, 0.8916177749633789, 0.910804271697998, 0.919710636138916, 0.9039645195007324]","[50.6, 50.4, 52.5, 52.2, 53.9, 48.7, 51.8, 53.9, 49.9, 49.1]"
7,0.7929241836071015,51.27,"[0.8089432120323181, 0.7821676731109619, 0.8058145642280579, 0.767901599407196, 0.8050947189331055, 0.807776927947998, 0.7695347666740417, 0.794563889503479, 0.7950181365013123, 0.792426347732544]","[50.8, 51.0, 53.7, 52.6, 52.9, 51.2, 50.3, 53.1, 48.9, 48.2]"
8,0.6591334342956542,51.81000000000001,"[0.6577378511428833, 0.6549438834190369, 0.6786155700683594, 0.6329282522201538, 0.6785101294517517, 0.6774293184280396, 0.6397472023963928, 0.665219783782959, 0.6689329147338867, 0.6372694373130798]","[50.7, 51.2, 52.9, 51.0, 53.5, 50.3, 51.5, 54.5, 50.7, 51.8]"
9,0.5474231958389283,51.27,"[0.5560753345489502, 0.5306753516197205, 0.559488832950592, 0.5260745286941528, 0.5723428130149841, 0.5635825395584106, 0.5220767855644226, 0.5581717491149902, 0.5606078505516052, 0.5251361727714539]","[50.6, 51.2, 52.7, 52.4, 54.3, 50.2, 49.2, 52.1, 49.4, 50.6]"
10,0.410644993185997,51.580000000000005,"[0.41477328538894653, 0.3972393572330475, 0.43116751313209534, 0.3935602605342865, 0.427051305770874, 0.4216005802154541, 0.3952579200267792, 0.422506719827652, 0.4092888832092285, 0.39400410652160645]","[51.7, 50.4, 52.5, 50.9, 53.9, 50.3, 51.5, 52.8, 50.5, 51.3]"
11,0.3093046694993973,51.230000000000004,"[0.30331525206565857, 0.3006608188152313, 0.3276274800300598, 0.3063308596611023, 0.32757464051246643, 0.32477709650993347, 0.28599247336387634, 0.3158026337623596, 0.3048281967639923, 0.2961372435092926]","[50.9, 51.3, 51.9, 52.2, 54.4, 52.0, 48.1, 50.9, 49.5, 51.1]"
12,0.22142246365547186,50.9,"[0.21643026173114777, 0.22472117841243744, 0.23551440238952637, 0.21534807980060577, 0.2325926572084427, 0.2339686006307602, 0.20300279557704926, 0.23182256519794464, 0.21352577209472656, 0.20729832351207733]","[50.4, 50.3, 51.8, 51.5, 51.8, 50.7, 48.6, 52.6, 49.6, 51.7]"
13,0.16194657236337665,50.379999999999995,"[0.1563093215227127, 0.15215377509593964, 0.17780940234661102, 0.15265212953090668, 0.1790539026260376, 0.1746760606765747, 0.14855237305164337, 0.17278699576854706, 0.14981529116630554, 0.15565647184848785]","[51.0, 50.9, 51.8, 49.5, 51.7, 48.8, 48.2, 52.0, 49.4, 50.5]"
14,0.11649012938141823,50.1,"[0.11364378780126572, 0.10845188051462173, 0.12263526022434235, 0.1133897453546524, 0.13837088644504547, 0.12263429164886475, 0.10585416853427887, 0.12951086461544037, 0.10693531483411789, 0.10347509384155273]","[50.9, 51.6, 51.4, 50.2, 50.6, 49.3, 46.9, 51.3, 49.2, 49.6]"
15,0.078980553150177,49.879999999999995,"[0.07617654651403427, 0.07486076653003693, 0.07947355508804321, 0.07914721220731735, 0.08666994422674179, 0.08930686116218567, 0.06754017621278763, 0.0835917517542839, 0.07552381604909897, 0.0775149017572403]","[48.6, 50.0, 50.8, 50.4, 52.9, 49.5, 48.6, 50.4, 47.8, 49.8]"
16,0.052063870429992685,49.38,"[0.04940737783908844, 0.04623027145862579, 0.06272869557142258, 0.052337925881147385, 0.05644628033041954, 0.057552602142095566, 0.043818335980176926, 0.054297734051942825, 0.048479918390512466, 0.04933956265449524]","[47.8, 50.1, 50.3, 49.1, 51.0, 49.4, 47.5, 50.9, 47.5, 50.2]"
17,0.03871286511421204,49.21000000000001,"[0.03591238334774971, 0.03531865403056145, 0.04061555489897728, 0.03556070104241371, 0.04828162118792534, 0.05154959112405777, 0.034281592816114426, 0.03705843538045883, 0.03374996781349182, 0.034800149500370026]","[49.2, 49.2, 51.2, 49.5, 51.0, 47.7, 47.6, 49.9, 47.2, 49.6]"
18,0.024142455682158465,49.17000000000001,"[0.025661295279860497, 0.022091174498200417, 0.025697654113173485, 0.02150704339146614, 0.030290812253952026, 0.02684020809829235, 0.019295671954751015, 0.027095496654510498, 0.021695461124181747, 0.021249739453196526]","[49.0, 48.5, 50.0, 49.1, 51.5, 49.2, 47.7, 51.5, 46.3, 48.9]"
