,glob_loss,glob_acc,local_loss,local_acc
0,2.3783965889155865,9.34538,"[2.686115264892578, 2.4441022872924805, 2.946753740310669, 2.8334431648254395, 2.3821983337402344, 2.3459222316741943, 1.8289543390274048, 2.240767002105713, 2.076230049133301, 1.9931612014770508]","[0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 70.0, 1.8, 7.9, 13.9]"
1,2.330209168457985,11.176034999999999,"[2.439112663269043, 2.4394173622131348, 2.6596317291259766, 2.6921651363372803, 2.0802721977233887, 2.444305419921875, 2.2253663539886475, 2.3295819759368896, 2.006622791290283, 1.9963643550872803]","[15.7, 0.0, 0.0, 0.0, 15.3, 0.0, 0.0, 0.8, 20.4, 58.0]"
2,2.324796593558788,10.451134999999999,"[2.3392138481140137, 2.4502995014190674, 2.692627191543579, 2.570202589035034, 2.2102243900299072, 2.4452178478240967, 2.2732458114624023, 2.3688085079193115, 2.048870086669922, 1.8635950088500977]","[9.7, 0.0, 0.0, 0.0, 4.3, 0.0, 0.0, 0.0, 0.8, 88.0]"
3,2.3001084131956104,11.216075,"[2.19636607170105, 2.4554927349090576, 2.387568712234497, 2.4104695320129395, 2.132251262664795, 2.4024009704589844, 2.1744370460510254, 2.2665581703186035, 2.2986507415771484, 2.2844080924987793]","[29.3, 0.0, 0.0, 0.0, 59.1, 0.0, 22.1, 0.1, 0.0, 0.1]"
4,2.321532179963589,10.16,"[2.2608461380004883, 2.5437495708465576, 2.6027963161468506, 2.496121883392334, 2.1964263916015625, 2.483757972717285, 2.4108028411865234, 2.4363269805908203, 2.0314927101135254, 1.7738966941833496]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
5,2.304176061964035,10.082495000000002,"[2.17718505859375, 2.4192075729370117, 2.2648744583129883, 2.3242852687835693, 2.18922758102417, 2.371166229248047, 2.0716164112091064, 2.193742036819458, 2.4275550842285156, 2.60164737701416]","[2.7, 0.0, 0.0, 0.0, 0.1, 0.0, 98.4, 0.2, 0.0, 0.0]"
6,2.37239031021595,10.16,"[2.274113416671753, 2.6539430618286133, 2.7325665950775146, 2.5327630043029785, 2.2650108337402344, 2.6231276988983154, 2.6492912769317627, 2.644988775253296, 1.8901264667510986, 1.4918766021728516]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
7,2.348465704983473,9.934999999999999,"[2.2547154426574707, 2.355445623397827, 2.108644485473633, 2.2437236309051514, 2.2065353393554688, 2.273625135421753, 1.9455350637435913, 2.12504243850708, 2.735836982727051, 3.2163968086242676]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]"
8,2.4355819278538227,10.16,"[2.2425506114959717, 2.812458038330078, 2.871236562728882, 2.660834550857544, 2.2810401916503906, 2.80434513092041, 2.85275936126709, 2.806074619293213, 1.7180675268173218, 1.3534191846847534]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
9,2.361695447087288,10.12621,"[2.323725461959839, 2.246004581451416, 2.138397455215454, 2.0699639320373535, 2.199972629547119, 2.252876043319702, 2.018770456314087, 2.1081979274749756, 2.916978597640991, 3.3190202713012695]","[0.0, 0.0, 0.0, 3.9, 0.0, 0.0, 97.9, 0.1, 0.0, 0.0]"
10,2.4082458974957466,10.16,"[2.080301523208618, 2.8890233039855957, 2.687272787094116, 2.7136781215667725, 2.2766780853271484, 2.7609145641326904, 2.7610557079315186, 2.7492756843566895, 1.6848185062408447, 1.524413824081421]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
11,2.3500438483953476,10.009935,"[2.4884748458862305, 2.219296455383301, 2.2077267169952393, 1.9788089990615845, 2.1162614822387695, 2.233444929122925, 2.0517382621765137, 2.1823744773864746, 2.9959816932678223, 3.006293773651123]","[0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0]"
12,2.405388273054361,12.900795000000002,"[1.9398287534713745, 2.945932149887085, 2.6244678497314453, 2.7867066860198975, 2.3751542568206787, 2.8231167793273926, 2.7047061920166016, 2.623469829559326, 1.6459333896636963, 1.6294307708740234]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 43.7, 83.9]"
13,2.349133055889607,10.000300000000001,"[2.6535239219665527, 2.2069690227508545, 2.224879264831543, 1.9501336812973022, 2.02361798286438, 2.181694507598877, 2.048021078109741, 2.353102684020996, 3.034228801727295, 2.7967472076416016]","[0.0, 0.0, 0.0, 99.8, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]"
14,2.4042488022446626,10.015,"[1.8232288360595703, 2.94897723197937, 2.5723650455474854, 2.8162715435028076, 2.434623956680298, 2.8898470401763916, 2.7506282329559326, 2.4681661128997803, 1.623412847518921, 1.75967538356781]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0]"
15,2.348080208826065,11.102705,"[2.8033666610717773, 2.168964147567749, 2.20099139213562, 1.9664064645767212, 1.9838109016418457, 2.24098539352417, 2.036752939224243, 2.456303834915161, 3.032482862472534, 2.576176404953003]","[0.0, 0.0, 0.0, 81.7, 28.6, 0.0, 0.3, 0.0, 0.0, 0.0]"
16,2.3864641681492333,12.882954999999999,"[1.7262276411056519, 2.9613020420074463, 2.497763156890869, 2.740788221359253, 2.4684712886810303, 2.7091550827026367, 2.8268604278564453, 2.38395619392395, 1.7225069999694824, 1.865477442741394]","[58.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 69.1, 0.0]"
17,2.348207410228252,10.416095,"[3.035118579864502, 2.1974127292633057, 2.2670977115631104, 2.014777183532715, 1.9185707569122314, 2.28900408744812, 1.980168342590332, 2.5146355628967285, 2.8520305156707764, 2.399360179901123]","[0.0, 0.0, 0.0, 0.0, 99.0, 0.0, 3.7, 0.0, 0.0, 0.0]"
18,2.381299867653847,10.245,"[1.6126799583435059, 2.8729398250579834, 2.4219279289245605, 2.7602474689483643, 2.5625762939453125, 2.598210096359253, 2.89103364944458, 2.333151340484619, 1.786802053451538, 2.0061542987823486]","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,2.360594473618269,10.15,"[3.293046712875366, 2.2631497383117676, 2.353048801422119, 2.079960346221924, 1.811017394065857, 2.404212236404419, 1.9842723608016968, 2.5984387397766113, 2.6577048301696777, 2.1520228385925293]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
20,2.374786087834835,10.245,"[1.5370038747787476, 2.841127395629883, 2.266740560531616, 2.618354558944702, 2.7668089866638184, 2.523820400238037, 2.880847454071045, 2.180211067199707, 1.9458259344100952, 2.2098946571350098]","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,2.3845409171342853,10.15,"[3.5014634132385254, 2.251978635787964, 2.537714719772339, 2.1960606575012207, 1.6980785131454468, 2.5582680702209473, 2.0790154933929443, 2.7174575328826904, 2.408167839050293, 1.8971035480499268]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
22,2.375656070137024,10.245,"[1.5269269943237305, 2.8362057209014893, 2.1546859741210938, 2.478057384490967, 2.9875285625457764, 2.3518829345703125, 2.766829013824463, 2.0920770168304443, 2.1043641567230225, 2.46541166305542]","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
23,2.3929829768538475,16.909200000000002,"[3.4297733306884766, 2.3152921199798584, 2.6222734451293945, 2.2918357849121094, 1.7151859998703003, 2.705148458480835, 2.1928300857543945, 2.7475802898406982, 2.248692035675049, 1.6726396083831787]","[0.0, 0.0, 0.0, 0.0, 72.0, 0.0, 0.0, 0.0, 0.0, 94.5]"
24,2.359274208366871,10.245,"[1.623039722442627, 2.732344150543213, 2.0827853679656982, 2.339796543121338, 2.9084136486053467, 2.333465337753296, 2.5504932403564453, 2.0105857849121094, 2.247446298599243, 2.7622017860412598]","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
25,2.380830822217464,10.16,"[3.15240740776062, 2.426698684692383, 2.599414825439453, 2.3514480590820312, 1.7976545095443726, 2.648254156112671, 2.3378565311431885, 2.8529226779937744, 2.0847039222717285, 1.5763826370239258]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
26,2.3469812049627308,10.245,"[1.6286351680755615, 2.6103060245513916, 2.1226611137390137, 2.2525956630706787, 2.7445199489593506, 2.369141101837158, 2.4257798194885254, 2.031949281692505, 2.4221434593200684, 2.861165761947632]","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,2.381399365496636,10.16,"[3.081211805343628, 2.541616916656494, 2.5851898193359375, 2.4541735649108887, 1.8952348232269287, 2.6998355388641357, 2.40055775642395, 2.7901883125305176, 1.8742430210113525, 1.5138500928878784]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
28,2.341339695072174,10.245,"[1.7392332553863525, 2.439990997314453, 2.0101964473724365, 2.127807378768921, 2.500173330307007, 2.331515312194824, 2.3934502601623535, 2.148005247116089, 2.6568968296051025, 3.0626771450042725]","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29,2.38499076499939,10.16,"[2.818983793258667, 2.625502347946167, 2.769085645675659, 2.5260095596313477, 2.09785795211792, 2.7874271869659424, 2.4081897735595703, 2.648634433746338, 1.7533800601959229, 1.44281005859375]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
30,2.353019361656904,11.448150000000002,"[1.9501885175704956, 2.42694091796875, 1.9034712314605713, 2.1299450397491455, 2.1151490211486816, 2.291490077972412, 2.4063899517059326, 2.1590662002563477, 2.8961000442504883, 3.2440361976623535]","[21.0, 0.0, 93.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,2.388749849808216,10.16,"[2.4924285411834717, 2.5595641136169434, 2.8727259635925293, 2.497713327407837, 2.530017852783203, 2.786529302597046, 2.435659170150757, 2.647519826889038, 1.6914246082305908, 1.4045041799545288]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
32,2.3736333387255666,10.15,"[2.1369941234588623, 2.573979139328003, 2.0340304374694824, 2.1645398139953613, 1.6907596588134766, 2.245120048522949, 2.4135348796844482, 2.2008705139160156, 2.9664571285247803, 3.302886962890625]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,2.36990617749691,10.16,"[2.1538009643554688, 2.4310202598571777, 2.598504066467285, 2.4346930980682373, 3.0454888343811035, 2.807971954345703, 2.35976243019104, 2.5750644207000732, 1.7579402923583984, 1.561747431755066]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
34,2.354099049770832,10.15,"[2.3622727394104004, 2.550602436065674, 2.1713740825653076, 2.2859342098236084, 1.5249203443527222, 2.22453236579895, 2.4440505504608154, 2.253683090209961, 2.7818610668182373, 2.9383676052093506]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,2.368886050724983,10.170015,"[1.959282398223877, 2.3334641456604004, 2.475604772567749, 2.273944854736328, 3.34967041015625, 2.8387489318847656, 2.394026756286621, 2.55835223197937, 1.839615821838379, 1.6917394399642944]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 100.0]"
36,2.3516065598726272,10.15,"[2.6703457832336426, 2.6300456523895264, 2.2234230041503906, 2.395366668701172, 1.453857183456421, 2.222630500793457, 2.374122381210327, 2.2774572372436523, 2.585322141647339, 2.678063154220581]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
37,2.3636063778162004,15.18328,"[1.7975316047668457, 2.290365219116211, 2.4424116611480713, 2.1837985515594482, 3.4373960494995117, 2.7326653003692627, 2.4534480571746826, 2.5791375637054443, 2.0273070335388184, 1.7167352437973022]","[52.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 96.2]"
38,2.3357291278481487,10.15,"[2.8204848766326904, 2.6901652812957764, 2.244748115539551, 2.3667616844177246, 1.5505164861679077, 2.346822738647461, 2.2627475261688232, 2.2598321437835693, 2.2202231884002686, 2.5894863605499268]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,2.340436986118555,15.55673,"[1.7343000173568726, 2.2083699703216553, 2.3167786598205566, 2.305187225341797, 3.2193832397460938, 2.5491178035736084, 2.6045548915863037, 2.5231854915618896, 2.2568063735961914, 1.7098397016525269]","[73.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 78.7]"
40,2.334789089679718,10.15,"[2.9192981719970703, 2.800776720046997, 2.167252540588379, 2.2983787059783936, 1.6879069805145264, 2.4625868797302246, 2.0760583877563477, 2.278994560241699, 2.0065174102783203, 2.6422641277313232]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,2.348678699839115,15.473915000000002,"[1.5992717742919922, 2.134685754776001, 2.47149395942688, 2.3366482257843018, 2.8371782302856445, 2.462301015853882, 2.9934375286102295, 2.614611864089966, 2.4187042713165283, 1.652828574180603]","[95.9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 55.6]"
42,2.355364517152309,14.912885000000001,"[3.1784799098968506, 2.866065502166748, 2.0810000896453857, 2.2814579010009766, 1.9776859283447266, 2.5142838954925537, 1.8232460021972656, 2.1716997623443604, 1.8807055950164795, 2.756978988647461]","[0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 99.8, 0.0, 49.7, 0.0]"
43,2.35810396566987,15.429585,"[1.6594799757003784, 2.1804919242858887, 2.525709867477417, 2.4052436351776123, 2.323012351989746, 2.4976613521575928, 3.3428783416748047, 2.6929585933685303, 2.4606428146362305, 1.540083885192871]","[55.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 95.7]"
44,2.337846617388725,9.985074999999998,"[3.0124526023864746, 2.638066053390503, 2.064136266708374, 2.1495630741119385, 2.344531774520874, 2.277475595474243, 1.7537891864776611, 2.0964467525482178, 2.089888572692871, 2.9164185523986816]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.5, 0.0]"
45,2.3760375338077546,14.894379999999998,"[1.781231164932251, 2.3446044921875, 2.5380523204803467, 2.5360162258148193, 1.9498491287231445, 2.8543012142181396, 3.46026349067688, 2.8291819095611572, 1.9001338481903076, 1.6303714513778687]","[47.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 98.6]"
46,2.3410715718448163,10.014379999999997,"[2.76992130279541, 2.453312397003174, 2.0060298442840576, 1.9968360662460327, 2.6878201961517334, 1.999322533607483, 1.870016098022461, 2.03198504447937, 2.7668519020080566, 2.785367727279663]","[0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 100.0, 0.4, 0.0, 0.0]"
47,2.386615651351213,10.015,"[1.983298659324646, 2.4481451511383057, 2.6333768367767334, 2.7845122814178467, 1.9174630641937256, 3.100663900375366, 3.1078412532806396, 2.7446885108947754, 1.500410556793213, 1.708909034729004]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0]"
48,2.3511435839772226,10.0,"[2.3562538623809814, 2.3340835571289062, 2.0086071491241455, 1.8330274820327759, 2.4349727630615234, 2.0040152072906494, 2.158101797103882, 2.194160223007202, 3.4073691368103027, 2.7555806636810303]","[0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49,2.3573913991093636,10.106440000000001,"[2.1855788230895996, 2.4656665325164795, 2.5733211040496826, 2.924659490585327, 2.1672701835632324, 3.0606319904327393, 2.5651469230651855, 2.5367271900177, 1.489039421081543, 1.6530311107635498]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.9]"
50,2.3444398100674153,14.94468,"[1.9592918157577515, 2.3670406341552734, 2.0351970195770264, 1.9232587814331055, 2.1214964389801025, 2.0839035511016846, 2.476752996444702, 2.2964460849761963, 3.462867498397827, 2.714205265045166]","[50.9, 0.0, 0.1, 97.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
51,2.3429170761823657,14.639365000000002,"[2.677675724029541, 2.279155731201172, 2.582707166671753, 2.653061628341675, 2.4627110958099365, 3.004187822341919, 2.284961462020874, 2.4316940307617188, 1.5440642833709717, 1.5361499786376953]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 77.9, 67.3]"
52,2.417841832816601,10.245,"[1.4937705993652344, 2.8916618824005127, 2.110698699951172, 2.1923482418060303, 1.749452829360962, 2.1159799098968506, 2.7791969776153564, 2.4920737743377686, 3.2227025032043457, 3.1433048248291016]","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
53,2.3828564584016796,10.16,"[3.2760796546936035, 1.888085961341858, 2.6245062351226807, 2.332458019256592, 3.0450615882873535, 2.8827366828918457, 2.094982862472534, 2.258105993270874, 2.0194590091705322, 1.4045155048370361]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
54,2.3833496624946595,15.31747,"[1.7012975215911865, 3.2545783519744873, 2.0389246940612793, 2.3957231044769287, 1.6652692556381226, 2.336632490158081, 2.7452361583709717, 2.47430682182312, 2.2046802043914795, 3.0355451107025146]","[54.6, 0.0, 0.0, 0.0, 95.8, 0.0, 0.0, 0.0, 0.0, 0.0]"
55,2.307590729403496,10.17,"[2.547511100769043, 1.809596300125122, 2.6037471294403076, 2.056277275085449, 3.013655662536621, 2.5272135734558105, 2.240206480026245, 2.3496053218841553, 2.3190815448760986, 1.6117514371871948]","[0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
56,2.337977803039551,12.343285,"[2.040172815322876, 3.3537938594818115, 2.0181798934936523, 2.60695481300354, 1.7081434726715088, 2.456486225128174, 2.413431167602539, 2.3015048503875732, 1.8821420669555664, 2.6149420738220215]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 21.9, 0.0]"
57,2.3023095843791963,10.489295,"[1.9294359683990479, 1.7279942035675049, 2.63025164604187, 2.0426862239837646, 3.001108169555664, 2.5280792713165283, 2.5957882404327393, 2.565492868423462, 2.4395153522491455, 1.5867842435836792]","[0.3, 3.6, 0.0, 0.3, 0.0, 0.0, 0.0, 0.0, 0.0, 99.1]"
58,2.3686285532891755,10.210090000000001,"[2.6818768978118896, 3.5281269550323486, 2.115351438522339, 2.3600361347198486, 1.6430585384368896, 2.2776334285736084, 1.9661070108413696, 2.1820385456085205, 2.0819091796875, 2.8371903896331787]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.6, 0.0]"
59,2.3699702093303205,17.199840000000002,"[1.4762758016586304, 2.1346206665039062, 2.536691904067993, 2.4203317165374756, 3.0509490966796875, 2.805253267288208, 3.1984705924987793, 2.620206832885742, 1.9832391738891602, 1.5232981443405151]","[94.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 74.1]"
60,2.3632291394591336,11.102945,"[3.2998855113983154, 2.6369729042053223, 2.1378586292266846, 2.0474507808685303, 1.7565611600875854, 2.207590341567993, 1.8332386016845703, 2.151817798614502, 2.6357357501983643, 2.890148878097534]","[0.0, 0.0, 0.0, 0.0, 95.0, 0.0, 14.7, 0.0, 0.0, 0.0]"
61,2.3357681765019898,15.23473,"[1.663169264793396, 2.2849836349487305, 2.438518524169922, 2.6843831539154053, 2.564675807952881, 2.7152442932128906, 3.137428045272827, 2.6853084564208984, 1.5682485103607178, 1.6638870239257812]","[52.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 83.4, 14.9]"
