,glob_loss,glob_acc,local_loss,local_acc
0,2.4919775611162183,9.990000000000002,"[2.91584849357605, 1.5503209829330444, 3.2711029052734375, 1.6484403610229492, 2.403903007507324, 2.6326160430908203, 2.5550754070281982, 2.447068452835083, 2.9453628063201904, 2.5456669330596924]","[0.0, 66.9, 0.0, 33.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1,2.3348286192297936,10.108415000000003,"[2.2993574142456055, 2.180331230163574, 3.055983304977417, 2.248469114303589, 1.9436835050582886, 2.416853666305542, 2.3675832748413086, 2.3414716720581055, 2.3685340881347656, 2.140596866607666]","[1.8, 1.9, 0.0, 0.1, 90.5, 0.0, 0.1, 0.0, 0.0, 5.2]"
2,2.305915009534359,10.579610000000002,"[2.104283332824707, 2.319395065307617, 2.05827260017395, 2.260664701461792, 2.3240609169006348, 2.432959794998169, 2.4769768714904785, 2.634977102279663, 2.1612863540649414, 2.300959587097168]","[22.8, 0.0, 72.8, 1.3, 0.5, 0.0, 0.0, 0.0, 8.0, 0.0]"
3,2.3176667398691175,10.180480000000001,"[2.234795570373535, 2.3667497634887695, 2.8502907752990723, 2.374208688735962, 1.8504612445831299, 2.4947125911712646, 2.3480987548828125, 2.32181715965271, 2.320920467376709, 2.035508155822754]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.3]"
4,2.313484347206354,9.975000000000001,"[2.125187873840332, 2.2237966060638428, 1.9001024961471558, 2.1312999725341797, 2.645019054412842, 2.348167657852173, 2.496098279953003, 2.724048614501953, 2.149575710296631, 2.3977298736572266]","[0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,2.3704083436489105,10.15,"[2.284160852432251, 2.5738284587860107, 3.1855990886688232, 2.647754430770874, 1.5424011945724487, 2.6391265392303467, 2.4191319942474365, 2.253782033920288, 2.2848243713378906, 1.904865026473999]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,2.357013056343794,10.298825,"[2.124706268310547, 2.030482053756714, 1.9655393362045288, 1.875484824180603, 3.3216018676757812, 2.212604284286499, 2.4087321758270264, 2.811199426651001, 2.275913715362549, 2.5340819358825684]","[0.0, 0.2, 4.7, 98.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,2.4110523111701014,10.15,"[2.309633731842041, 2.8898966312408447, 2.954120635986328, 3.0453898906707764, 1.3532241582870483, 2.7648427486419678, 2.5446624755859375, 2.305152416229248, 2.0695436000823975, 1.912973403930664]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
8,2.363282526528835,11.959999999999999,"[2.0998754501342773, 1.887804388999939, 2.1890950202941895, 1.8328710794448853, 3.548372745513916, 2.2832961082458496, 2.271756887435913, 2.605591297149658, 2.5242395401000977, 2.3782448768615723]","[0.0, 26.8, 0.0, 92.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
9,2.378310953748226,10.15,"[2.3018712997436523, 2.971038818359375, 2.505406618118286, 3.056800365447998, 1.4744312763214111, 2.6175413131713867, 2.629216432571411, 2.4035346508026123, 1.8070783615112305, 2.047879695892334]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,2.3381615808844565,10.750000000000002,"[2.0721607208251953, 1.9550354480743408, 2.340532064437866, 1.8206967115402222, 3.1194581985473633, 2.4158082008361816, 2.103004217147827, 2.5178401470184326, 2.9086151123046875, 2.129530906677246]","[0.0, 8.0, 0.0, 99.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
11,2.3556100592374802,17.291960000000003,"[2.2780656814575195, 2.7018706798553467, 2.398263931274414, 3.08589768409729, 1.612003207206726, 2.424527406692505, 2.8382320404052734, 2.4359171390533447, 1.5844075679779053, 2.2200236320495605]","[0.0, 0.0, 0.0, 0.0, 86.1, 0.0, 0.0, 0.0, 85.4, 0.0]"
12,2.3305593737244608,14.411544999999998,"[2.0671913623809814, 2.1995503902435303, 2.2471489906311035, 1.8945897817611694, 2.623264789581299, 2.50384521484375, 1.9541990756988525, 2.4913198947906494, 3.340491771697998, 1.9953712224960327]","[1.2, 0.0, 0.0, 93.6, 0.0, 0.0, 13.1, 0.0, 0.0, 35.7]"
13,2.3358676986932756,10.1165,"[2.269806385040283, 2.2307939529418945, 2.6150436401367188, 2.9322407245635986, 1.8381848335266113, 2.366544723510742, 3.0559799671173096, 2.4254772663116455, 1.4377555847167969, 2.2071056365966797]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 100.0, 0.0]"
14,2.3555201251327995,11.884934999999999,"[2.0763115882873535, 2.6376664638519287, 1.9428369998931885, 2.034630298614502, 2.014117479324341, 2.4734020233154297, 1.9897018671035767, 2.5271403789520264, 3.5983245372772217, 2.2755286693573]","[0.9, 0.0, 89.8, 1.4, 1.3, 0.0, 25.8, 0.0, 0.0, 0.0]"
15,2.3610882785856724,12.942499999999999,"[2.3509929180145264, 1.8798531293869019, 3.1056807041168213, 2.6258087158203125, 2.606353759765625, 2.499588966369629, 2.976083517074585, 2.4040658473968506, 1.5717781782150269, 1.611449956893921]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 78.0, 50.5]"
16,2.4456809359669687,10.15,"[1.9111857414245605, 3.1899518966674805, 2.0404884815216064, 2.2190628051757812, 1.4578971862792969, 2.268221139907837, 2.378526449203491, 2.470858573913574, 3.234713554382324, 3.292259931564331]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
17,2.385260059809685,10.16,"[2.6233882904052734, 1.9641281366348267, 2.7029693126678467, 2.3945400714874268, 3.2784290313720703, 2.733797311782837, 2.3465728759765625, 2.6071736812591553, 1.7552635669708252, 1.458194613456726]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
18,2.353198298507929,16.483040000000003,"[1.6622570753097534, 2.675602674484253, 2.352064609527588, 2.4016120433807373, 1.705188512802124, 2.1687543392181396, 2.647963047027588, 2.1844141483306885, 2.6774070262908936, 3.064798355102539]","[74.2, 0.0, 0.0, 0.0, 87.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
19,2.3246373837769028,10.16,"[2.9654574394226074, 2.0672500133514404, 2.218477964401245, 2.2944047451019287, 2.6103639602661133, 2.7655293941497803, 2.095574378967285, 2.853489398956299, 1.9018901586532593, 1.4887309074401855]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
20,2.3335947753369806,10.508899999999999,"[1.6218665838241577, 2.6332685947418213, 2.6356985569000244, 2.2427728176116943, 1.8459056615829468, 2.1323065757751465, 2.773735761642456, 2.037637948989868, 2.417532444000244, 3.001647710800171]","[100.0, 0.0, 0.0, 0.0, 2.6, 0.0, 0.0, 0.0, 0.0, 0.0]"
21,2.3131277954459195,10.16,"[2.8518619537353516, 1.9035965204238892, 1.990549087524414, 2.6213595867156982, 2.3020217418670654, 2.7955875396728516, 2.125192403793335, 3.0078446865081787, 2.091468572616577, 1.4670531749725342]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
22,2.32099408723712,16.773245,"[1.7685340642929077, 2.9978065490722656, 2.728121519088745, 1.8395016193389893, 2.0745456218719482, 2.0867114067077637, 2.6541194915771484, 1.9954731464385986, 2.11722993850708, 2.9459590911865234]","[75.3, 0.0, 0.0, 89.8, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0]"
23,2.349535738527775,12.11545,"[2.5158021450042725, 1.6529419422149658, 2.1837260723114014, 3.2443325519561768, 1.8422411680221558, 2.8425614833831787, 2.374957323074341, 3.072317123413086, 2.4032068252563477, 1.4087557792663574]","[0.0, 2.3, 0.0, 0.0, 17.5, 0.0, 0.0, 0.0, 0.0, 99.5]"
24,2.325850234222412,17.092715000000002,"[1.9966280460357666, 3.4253242015838623, 2.2046761512756348, 1.8379703760147095, 2.426835536956787, 2.169776678085327, 2.1633331775665283, 2.147843599319458, 1.7989788055419922, 3.073326826095581]","[5.2, 0.0, 0.0, 99.0, 0.0, 0.0, 0.0, 0.0, 66.5, 0.0]"
25,2.301379339253902,16.8387,"[2.1351654529571533, 1.8654701709747314, 2.6759729385375977, 2.854748010635376, 1.6549285650253296, 2.599036931991577, 2.777205228805542, 2.6234540939331055, 2.4577343463897705, 1.4164661169052124]","[0.0, 0.0, 0.0, 0.0, 65.8, 0.0, 0.0, 0.0, 0.0, 100.0]"
26,2.3362231661617754,10.263115,"[2.4313502311706543, 2.7807018756866455, 1.758803367614746, 2.002054214477539, 2.4691598415374756, 2.248257637023926, 1.9092072248458862, 2.3215718269348145, 2.2992587089538574, 3.1177873611450195]","[0.0, 0.0, 99.0, 0.0, 0.0, 0.0, 3.4, 0.0, 0.5, 0.0]"
27,2.3858424410760404,16.383670000000002,"[1.6332710981369019, 2.0442073345184326, 3.3930060863494873, 2.8036046028137207, 2.2418432235717773, 2.8688533306121826, 3.2105984687805176, 2.7813591957092285, 1.5961041450500488, 1.3535828590393066]","[37.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 25.2, 98.3]"
28,2.42292798640728,10.15,"[2.8980319499969482, 2.67578387260437, 1.960566759109497, 2.0955655574798584, 1.6151036024093628, 2.194204807281494, 2.2719173431396484, 1.9122114181518555, 3.396467924118042, 3.178861618041992]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29,2.382322995376587,16.696559999999998,"[1.8488452434539795, 1.8819106817245483, 2.7876622676849365, 2.533674716949463, 3.0186281204223633, 2.644169569015503, 2.4406697750091553, 3.2410264015197754, 1.759068489074707, 1.7060678005218506]","[27.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 55.8, 81.3]"
30,2.370346717238426,10.15,"[2.262407064437866, 3.1181886196136475, 2.0726239681243896, 2.2754905223846436, 1.4517686367034912, 2.476262331008911, 2.495281934738159, 2.2176129817962646, 2.8077619075775146, 2.5402603149414062]","[0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,2.3444170032024387,12.16984,"[2.377760887145996, 1.6746758222579956, 2.663761615753174, 2.2822883129119873, 3.428802013397217, 2.327568769454956, 2.3639352321624756, 2.670257568359375, 1.9811620712280273, 1.6735814809799194]","[0.0, 58.3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 62.4]"
32,2.4114206447243687,10.392105,"[1.5129904747009277, 3.3864223957061768, 2.188424825668335, 2.652358293533325, 1.5544404983520508, 2.72586989402771, 2.595627546310425, 2.379462957382202, 2.5584018230438232, 2.602165699005127]","[83.9, 0.0, 0.0, 0.0, 17.7, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,2.3529536012470724,10.16,"[3.564332962036133, 1.8313654661178589, 2.5049455165863037, 1.9976993799209595, 2.979246139526367, 2.3418045043945312, 2.4035205841064453, 2.5143473148345947, 1.9217675924301147, 1.449385166168213]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
34,2.3842071526288984,10.245,"[1.3927884101867676, 2.9286398887634277, 2.2268588542938232, 2.7493631839752197, 1.8574074506759644, 2.338961362838745, 2.2932965755462646, 2.5056138038635254, 2.522829532623291, 3.047116756439209]","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,2.320673903620243,10.16,"[3.3750228881835938, 1.907455325126648, 2.4431874752044678, 2.1907849311828613, 2.329035758972168, 2.700028896331787, 2.6595280170440674, 2.2949435710906982, 1.9824457168579102, 1.3291600942611694]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
36,2.33064688539505,10.515899999999998,"[1.7690544128417969, 2.784644365310669, 2.136725664138794, 2.2697551250457764, 2.0362064838409424, 1.9901344776153564, 2.14740252494812, 2.4427525997161865, 2.4327774047851562, 3.2887043952941895]","[100.0, 0.0, 0.0, 0.0, 0.0, 2.8, 0.0, 0.0, 0.0, 0.0]"
37,2.3059475700974468,10.16,"[2.319653034210205, 1.7470324039459229, 2.539459466934204, 2.6910083293914795, 2.1149563789367676, 3.1060070991516113, 2.8446602821350098, 2.5003459453582764, 1.9214379787445068, 1.3267877101898193]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0]"
38,2.3782633854210378,10.0,"[2.3755407333374023, 3.186934471130371, 2.1847455501556396, 1.637534737586975, 2.0958361625671387, 1.9206970930099487, 2.237658739089966, 2.265991687774658, 2.585561752319336, 3.2639453411102295]","[0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
39,2.376021028232575,17.025465,"[1.6220662593841553, 1.9335635900497437, 2.557896375656128, 3.540696859359741, 2.169402837753296, 3.175165891647339, 2.5081229209899902, 2.8663437366485596, 1.9035391807556152, 1.5537346601486206]","[80.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 86.4]"
40,2.289179552149773,9.91546,"[2.6971092224121094, 2.5782318115234375, 2.128655195236206, 2.0383453369140625, 1.9430134296417236, 2.1563720703125, 2.5378615856170654, 1.6890814304351807, 2.6005513668060303, 2.5015053749084473]","[0.0, 0.0, 0.0, 0.8, 0.1, 0.0, 0.0, 99.8, 0.0, 0.0]"
41,2.285251744323969,19.948684999999998,"[1.665157675743103, 1.775114893913269, 2.5591397285461426, 2.6493096351623535, 2.3364901542663574, 2.6624553203582764, 2.2074434757232666, 3.7425696849823, 1.8141026496887207, 1.5034008026123047]","[79.1, 0.7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.4, 94.8]"
42,2.3272446985960005,11.602789999999999,"[2.1837098598480225, 3.0786094665527344, 2.0469915866851807, 2.1868653297424316, 1.6632674932479858, 2.264975070953369, 2.6777114868164062, 1.8582048416137695, 2.7015950679779053, 2.6111721992492676]","[0.0, 0.0, 0.0, 0.0, 98.6, 0.0, 0.0, 16.2, 0.0, 0.0]"
43,2.26027580589056,11.654544999999999,"[2.032069444656372, 1.6262212991714478, 2.773632764816284, 2.4208550453186035, 2.90413236618042, 2.4335198402404785, 2.218353033065796, 2.9942657947540283, 1.8584239482879639, 1.3700817823410034]","[5.5, 1.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.2, 99.9]"
